model,condition,sample_index,image_name,preserved_view_fraction,preserved_route_distance,preserved_pair_distance,top_preserved_global_cosine,top_preserved_js,top_route_distance,top_pair_distance,all_view_global_cosine,all_view_js,all_view_route_distance,route_view_count
cait_s24_224,rgb_gaussian,17,ILSVRC2012_val_00031927.JPEG,0.9000000357627869,0.5362755656242371,0.288587749004364,0.9907675981521606,0.0013416573638096452,0.487938791513443,0.288587749004364,0.9865156412124634,0.00267197797074914,0.534112274646759,18
cait_s24_224,feature_gaussian,16,ILSVRC2012_val_00031922.JPEG,0.75,0.35789117217063904,0.23608161509037018,0.9945441484451294,0.0005680110189132392,0.260163277387619,0.23608161509037018,0.9852086901664734,0.0021223609801381826,0.4176989495754242,15
cait_s24_224,feature_gaussian,17,ILSVRC2012_val_00031927.JPEG,0.4000000059604645,0.3917984664440155,0.34649795293807983,0.9854135513305664,0.0017190612852573395,0.3957550823688507,0.34649795293807983,0.973627507686615,0.005952951963990927,0.40599995851516724,8
cait_s24_224,phase_only,16,ILSVRC2012_val_00031922.JPEG,1.0,0.23513774573802948,0.0,1.0,1.1175870895385742e-08,0.02510201930999756,0.0,0.9982616305351257,5.492887066793628e-05,0.23513774573802948,20
cait_s24_224,phase_only,17,ILSVRC2012_val_00031927.JPEG,1.0,0.14504079520702362,0.0,0.9999999403953552,2.9802322387695312e-08,0.011428534984588623,0.0,0.9981712698936462,0.00010377771832281724,0.14504079520702362,20
cait_s24_224,opponent,18,ILSVRC2012_val_00032032.JPEG,0.0,0.0,0.04776324704289436,0.9283115267753601,0.011490126140415668,0.07632650434970856,0.04776324704289436,0.9164360165596008,0.034709420055150986,0.07506121695041656,0
cait_s24_224,opponent,19,ILSVRC2012_val_00032039.JPEG,0.0,0.0,0.20730608701705933,0.9085940718650818,0.009543445892632008,0.30281636118888855,0.20730608701705933,0.8951191902160645,0.01064483355730772,0.32891836762428284,0
cait_s24_224,rgb_gaussian,18,ILSVRC2012_val_00032032.JPEG,0.0,0.0,0.041697949171066284,0.9249276518821716,0.011391188949346542,0.08565305918455124,0.041697949171066284,0.9153070449829102,0.03161964565515518,0.08881630748510361,0
cait_s24_224,rgb_gaussian,19,ILSVRC2012_val_00032039.JPEG,0.0,0.0,0.21594282984733582,0.910841166973114,0.009359638206660748,0.26977548003196716,0.21594282984733582,0.8949186205863953,0.010637199506163597,0.32333672046661377,0
cait_s24_224,feature_gaussian,18,ILSVRC2012_val_00032032.JPEG,0.0,0.0,0.05133875831961632,0.9183033108711243,0.01938447169959545,0.07908163219690323,0.05133875831961632,0.8981749415397644,0.036295708268880844,0.09439794719219208,0
cait_s24_224,feature_gaussian,19,ILSVRC2012_val_00032039.JPEG,0.0,0.0,0.22199183702468872,0.9098600745201111,0.008668172173202038,0.34622445702552795,0.22199183702468872,0.8937925696372986,0.010502583347260952,0.3668520450592041,0
